Player,Nation,Squad,Age,Position,ETV
Phil Foden,ENG,Manchester City,24-321,"MF,FW",€99.8M
Radu Drăgușin,ROU,Tottenham,23-070,DF,
Rasmus Højlund,DEN,Manchester Utd,22-069,FW,
Rayan Aït-Nouri,ALG,Wolves,23-312,DF,
Raúl Jiménez,MEX,Fulham,33-344,FW,€5.2M
Riccardo Calafiori,ITA,Arsenal,22-330,DF,€49.3M
Rico Lewis,ENG,Manchester City,20-144,"DF,MF",€62.7M
Robert Sánchez,ESP,Chelsea,27-147,GK,€24.8M
Rodrigo Bentancur,URU,Tottenham,27-293,MF,€31.4M
Rodrigo Muniz,BRA,Fulham,23-345,FW,€8.4M
Ryan Christie,SCO,Bournemouth,30-051,MF,€16.2M
Ryan Gravenberch,NED,Liverpool,22-333,MF,€85.5M
Ryan Manning,IRL,Southampton,28-304,"DF,MF",€3.8M
Ryan Yates,ENG,Nott'ham Forest,27-144,MF,€17.5M
Rúben Dias,POR,Manchester City,27-335,DF,€74.5M
Sam Morsy,EGY,Ipswich Town,33-216,MF,€1.3M
Sammie Szmodics,IRL,Ipswich Town,29-202,"FW,MF",€14.1M
Sander Berge,NOR,Fulham,27-059,MF,
Sandro Tonali,ITA,Newcastle Utd,24-341,MF,€52.1M
Santiago Bueno,URU,Wolves,26-156,DF,€11.3M
Saša Lukić,SRB,Fulham,28-244,MF,€12.1M
Sepp van den Berg,NED,Brentford,23-115,DF,
Son Heung-min,KOR,Tottenham,32-280,FW,
Stefan Ortega,GER,Manchester City,32-159,GK,€5.8M
Stephy Mavididi,ENG,Leicester City,26-318,FW,€13.2M
Sávio,BRA,Manchester City,21-004,"FW,MF",€74.8M
Taylor Harwood-Bellis,ENG,Southampton,23-074,DF,€29.9M
Thomas Partey,GHA,Arsenal,31-305,"MF,DF",€14.7M
Timothy Castagne,BEL,Fulham,29-130,DF,€16.8M
Tomáš Souček,CZE,West Ham,30-046,MF,€25.6M
Tosin Adarabioyo,ENG,Chelsea,27-202,DF,€24.8M
Toti Gomes,POR,Wolves,26-088,DF,€18.6M
Trent Alexander-Arnold,ENG,Liverpool,26-189,DF,€55.4M
Trevoh Chalobah,ENG,Crystal Palace,25-283,DF,
Tyler Adams,USA,Bournemouth,26-059,MF,€24.5M
